Delay_Years,WACC,WACC_Pct,LTO_LCOE,Gen3_LCOE,SMR_LCOE,Gen3_to_LTO_Ratio,SMR_to_LTO_Ratio,Gen3_Premium_USD_MWh,SMR_Premium_USD_MWh
0.0,0.04,4.0%,40.46571076181759,74.18255283122335,92.05163198970455,1.8332200629778659,2.2748057616366424,33.71684206940576,51.585921227886956
0.0,0.055,5.5%,42.363147262731516,92.2208013372249,109.28543271160322,2.1769110015665682,2.579728839168326,49.85765407449338,66.9222854488717
0.0,0.07,7.0%,44.417120011935296,113.01454860890901,128.65117401611104,2.5443916349943656,2.8964321410650054,68.59742859697371,84.23405400417575
0.0,0.085,8.5%,46.62343297203933,136.41318736902844,149.99406418220102,2.9258503433420953,3.217138992578139,89.78975439698911,103.37063121016169
0.0,0.1,10.0%,48.977007002804434,162.354709893772,173.17108868056124,3.3149169340722584,3.5357629891643936,113.37770289096756,124.1940816777568
1.0,0.04,4.0%,40.90079882427256,75.94156196325336,94.31135862002529,1.8567256421942027,2.305856152717884,35.0407631389808,53.410559795752725
1.0,0.055,5.5%,42.97316023540309,95.15302427663565,112.7793774022781,2.2142431172247043,2.624414327093536,52.179864041232555,69.806217166875
1.0,0.07,7.0%,45.238630771293685,117.55245332444336,133.75562133388593,2.5984971543178674,2.95666820709262,72.31382255314968,88.51699056259224
1.0,0.085,8.5%,47.696288500067354,143.05071820617715,157.127087129104,2.999200204141149,3.294325241446871,95.3544297061098,109.43079862903666
1.0,0.1,10.0%,50.34413796928667,171.64949806733077,182.78879769383192,3.4095230346788057,3.630786126586286,121.3053600980441,132.44465972454526
2.0,0.04,4.0%,41.34912145929825,77.75500994831967,96.6405189076989,1.8804513180493405,2.337184334202273,36.405888489021415,55.29139744840065
2.0,0.055,5.5%,43.60762957764388,98.2054336280165,116.4151744902684,2.2520241200719386,2.6696056542809754,54.597804050372616,72.80754491262452
2.0,0.07,7.0%,46.10079000357423,122.32095434102405,139.116410185269,2.653337487959326,3.017657835678807,76.22016433744982,93.01562018169476
2.0,0.085,8.5%,48.83211367904204,150.09006466899473,164.68590142578554,3.073593448268265,3.3724917685974773,101.25795098995269,115.8537877467435
2.0,0.1,10.0%,51.80394743894991,181.5968580058256,193.07087855195996,3.5054637143208915,3.7269530237920727,129.7929105668757,141.26693111301006
3.0,0.04,4.0%,41.8111511281683,79.62460018653888,99.04127834349259,1.9043867015872604,2.368776646208341,37.81344905837059,57.230127215324295
3.0,0.055,5.5%,44.26770859713619,101.38309704833966,120.19877281311385,2.290226900402485,2.715269812291343,57.11538845120347,75.93106421597766
3.0,0.07,7.0%,47.00596234379201,127.33224368952848,144.74699336947816,2.7088530335417125,3.0793326240366747,80.32628134573648,97.74103102568615
3.0,0.085,8.5%,50.035246476373366,157.556734636823,172.69728559695128,3.148914929623086,3.451512638765533,107.52148816044962,122.6620391205779
3.0,0.1,10.0%,53.36379375912169,192.2451038334825,204.06597293428263,3.6025381685053315,3.824052949747427,138.88131007436078,150.70217917516095
4.0,0.04,4.0%,41.8111511281683,81.55209099348082,101.51586648302545,1.9504866236160365,2.4279615304500406,39.74093986531252,59.70471535485715
4.0,0.055,5.5%,44.26770859713619,104.6913035216899,124.1363664687638,2.3649587213660905,2.8042193825409463,60.42359492455371,79.8686578716276
4.0,0.07,7.0%,47.00596234379201,132.59918370390542,150.66153185961673,2.82090137276846,3.2051579065163915,85.59322136011342,103.65556951582472
4.0,0.085,8.5%,50.035246476373366,165.47792464392393,181.18972919735515,3.3072271308199226,3.6212418636313286,115.44267816755055,131.15448272098178
4.0,0.1,10.0%,53.36379375912169,203.64628790070597,215.82637244420425,3.816188347101838,4.044434573344257,150.28249414158427,162.46257868508258
5.0,0.04,4.0%,41.8111511281683,83.5392973691872,104.06658362929849,1.9980147667569603,2.4889671970592677,41.7281462410189,62.255432501130194
5.0,0.055,5.5%,44.26770859713619,108.13557318874666,128.2344166821169,2.4427641867088252,2.8967936391090445,63.86786459161047,83.9667080849807
5.0,0.07,7.0%,47.00596234379201,138.13534479131067,156.87495642667292,2.9386770933656665,3.3373416606030006,91.12938244751867,109.86899408288092
5.0,0.085,8.5%,50.035246476373366,173.88263494994862,190.19358752968785,3.475202925842605,3.8011921779879154,123.84738847357525,140.15834105331447
5.0,0.1,10.0%,53.36379375912169,215.85649930108463,228.4083713544855,4.044999129474137,4.2802123924227695,162.49270554196295,175.04457759536382
6.0,0.04,4.0%,41.8111511281683,85.5880928191422,106.69580396311576,2.0470159397616117,2.5518504294715405,43.776941690973906,64.88465283494747
6.0,0.055,5.5%,44.26770859713619,111.72166760379066,132.49966569248647,2.523773448960904,2.9931448880337634,67.45395900665447,88.23195709535028
6.0,0.07,7.0%,47.00596234379201,143.95504533607624,163.40301498427274,3.062484803166425,3.4762189057885142,96.94908299228423,116.39705264048074
6.0,0.085,8.5%,50.035246476373366,182.80179255488002,199.74121558027593,3.653460418970835,3.9920102257234547,132.76654607850665,149.70596910390256
6.0,0.1,10.0%,53.36379375912169,228.93618667443081,241.87259666586013,4.290103280659236,4.532522514378316,175.57239291530914,188.50880290673842
7.0,0.04,4.0%,41.8111511281683,87.700411245481,109.40597804874153,2.097536395892171,2.6166698379905258,45.88926011731271,67.59482692057324
7.0,0.055,5.5%,44.26770859713619,115.45560048257965,136.9391495220528,2.608122356937373,3.0934320718581714,71.18789188544346,92.6714409249166
7.0,0.07,7.0%,47.00596234379201,150.07339395701086,170.2623191477364,3.19264592137067,3.622143035865803,103.06743161321886,123.2563568039444
7.0,0.085,8.5%,50.035246476373366,192.26838290277726,209.8671050036822,3.8426588543651197,4.194385353988041,142.2331364264039,159.83185852730884
7.0,0.1,10.0%,53.36379375912169,242.95050763560997,256.28435476339075,4.552721808577964,4.8025887349806915,189.58671387648826,202.92056100426908
8.0,0.04,4.0%,41.8111511281683,89.87824891157831,112.19963528792329,2.1496238799086083,2.683485918481064,48.06709778341001,70.388484159755
8.0,0.055,5.5%,44.26770859713619,119.34364896693492,141.56021099429537,2.6959527102032026,3.1978210637144504,75.07594036979873,97.29250239715918
8.0,0.07,7.0%,47.00596234379201,156.50633426542655,177.47039279959492,3.3294996307228257,3.775486852106393,109.50037192163454,130.46443045580293
8.0,0.085,8.5%,50.035246476373366,202.3175909148648,220.60802942257797,4.04350143474159,4.409052517144071,152.28234443849144,170.5727829462046
8.0,0.1,10.0%,53.36379375912169,257.969707101485,271.71400433044505,4.83417105361609,5.091729526520027,204.60591334236335,218.35021057132337
9.0,0.04,4.0%,41.8111511281683,92.12366648032757,115.07938644583601,2.20332767681834,2.752361112782343,50.312515352159274,73.26823531766772
9.0,0.055,5.5%,44.26770859713619,123.39236542522332,146.37051331758178,2.7874125256441653,3.306484974174853,79.12465682808713,102.10280472044559
9.0,0.07,7.0%,47.00596234379201,163.2706922628923,185.04572339387343,3.4734038858467318,3.9366436547024994,116.2647299191003,138.03976105008144
9.0,0.085,8.5%,50.035246476373366,212.9869520060326,232.00319974142184,4.256738339574384,4.63679538085165,162.95170552965922,181.96795326504846
9.0,0.1,10.0%,53.36379375912169,274.0695269245402,288.23735954852623,5.135870364870608,5.401365593488312,220.7057331654185,234.87356578940455
10.0,0.04,4.0%,41.8111511281683,94.43879112643545,118.04792627498807,2.2586986623961125,2.8233598714640227,52.62763999826715,76.23677514681978
10.0,0.055,5.5%,44.26770859713619,127.60858980858,151.37805431925483,2.882656316591805,3.4196044727973094,83.34088121144381,107.11034572211864
10.0,0.07,7.0%,47.00596234379201,170.38422652503763,193.0078162837948,3.62473648085071,4.106028398529,123.37826418124563,146.00185394000277
10.0,0.085,8.5%,50.035246476373366,224.31651378361394,244.09443041660336,4.483169956793081,4.878449645128954,174.28126730724057,194.05918394022999
10.0,0.1,10.0%,53.36379375912169,291.33164944137695,305.9361265059072,5.459350411936903,5.733028050570567,237.96785568225528,252.57233274678555
