Technology,Delay_Years,Total_Duration_Years,WACC,WACC_Pct,Capex_Total_kW,LCOE_Capital,LCOE_Fixed_OM,LCOE_Var_Fuel,LCOE_Total
Gen-III+,0.0,7.0,0.04,4.0%,8617.65073840069,49.41314643852928,14.269406392694064,10.5,74.18255283122335
Gen-III+,0.0,7.0,0.055,5.5%,9073.38868757708,67.45139494453083,14.269406392694064,10.5,92.2208013372249
Gen-III+,0.0,7.0,0.07,7.0%,9550.351664516864,88.24514221621494,14.269406392694064,10.5,113.01454860890901
Gen-III+,0.0,7.0,0.085,8.5%,10049.380434844767,111.64378097633436,14.269406392694064,10.5,136.41318736902844
Gen-III+,0.0,7.0,0.1,10.0%,10571.342328060517,137.58530350107793,14.269406392694064,10.5,162.354709893772
Gen-III+,1.0,8.0,0.04,4.0%,8924.421859813685,51.172155570559305,14.269406392694064,10.5,75.94156196325336
Gen-III+,1.0,8.0,0.055,5.5%,9467.823798515594,70.38361788394158,14.269406392694064,10.5,95.15302427663565
Gen-III+,1.0,8.0,0.07,7.0%,10041.467489875678,92.7830469317493,14.269406392694064,10.5,117.55245332444336
Gen-III+,1.0,8.0,0.085,8.5%,10646.843830899588,118.28131181348309,14.269406392694064,10.5,143.05071820617715
Gen-III+,1.0,8.0,0.1,10.0%,11285.505724507351,146.8800916746367,14.269406392694064,10.5,171.64949806733077
Gen-III+,2.0,9.0,0.04,4.0%,9240.687114992263,52.98560355562561,14.269406392694064,10.5,77.75500994831967
Gen-III+,2.0,9.0,0.055,5.5%,9878.426077407663,73.43602723532243,14.269406392694064,10.5,98.2054336280165
Gen-III+,2.0,9.0,0.07,7.0%,10557.539655178209,97.55154794832998,14.269406392694064,10.5,122.32095434102405
Gen-III+,2.0,9.0,0.085,8.5%,11280.475816478149,125.32065827630068,14.269406392694064,10.5,150.09006466899473
Gen-III+,2.0,9.0,0.1,10.0%,12049.809356467867,156.82745161313153,14.269406392694064,10.5,181.5968580058256
Gen-III+,3.0,10.0,0.04,4.0%,9566.743576847803,54.855193793844826,14.269406392694064,10.5,79.62460018653888
Gen-III+,3.0,10.0,0.055,5.5%,10305.877212474597,76.6136906556456,14.269406392694064,10.5,101.38309704833966
Gen-III+,3.0,10.0,0.07,7.0%,11099.887645888011,102.56283729683442,14.269406392694064,10.5,127.33224368952848
Gen-III+,3.0,10.0,0.085,8.5%,11952.572429759653,132.78732824412893,14.269406392694064,10.5,157.556734636823
Gen-III+,3.0,10.0,0.1,10.0%,12867.965431085395,167.47569744078842,14.269406392694064,10.5,192.2451038334825
Gen-III+,4.0,11.0,0.04,4.0%,9902.897895544495,56.78268460078675,14.269406392694064,10.5,81.55209099348082
Gen-III+,4.0,11.0,0.055,5.5%,10750.888664293345,79.92189712899584,14.269406392694064,10.5,104.6913035216899
Gen-III+,4.0,11.0,0.07,7.0%,11669.90349117918,107.82977731121136,14.269406392694064,10.5,132.59918370390542
Gen-III+,4.0,11.0,0.085,8.5%,12665.581709648892,140.70851825122986,14.269406392694064,10.5,165.47792464392393
Gen-III+,4.0,11.0,0.1,10.0%,13743.97338144693,178.8768815080119,14.269406392694064,10.5,203.64628790070597
Gen-III+,5.0,12.0,0.04,4.0%,10249.466607016137,58.76989097649314,14.269406392694064,10.5,83.5392973691872
Gen-III+,5.0,12.0,0.055,5.5%,11214.202988033236,83.3661667960526,14.269406392694064,10.5,108.13557318874666
Gen-III+,5.0,12.0,0.07,7.0%,12269.055851618336,113.36593839861659,14.269406392694064,10.5,138.13534479131067
Gen-III+,5.0,12.0,0.085,8.5%,13422.114053602796,149.11322855725456,14.269406392694064,10.5,173.88263494994862
